sample_id,source_dataset,filename,relative_path,split,t1_path,t2_path,label_path,width,height,channels,mode,category,caption_count,sha256,valid,error_message,original_width,original_height,patch_size,patch_index,patch_x,patch_y,changed_pixel_count,changed_ratio,preprocessing_version,captions_joined
00001,RSICD,00001.jpg,raw/rsicd/images/00001.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00001.jpg,,,224,224,3,RGB,unknown,5,cad2f0348d6fde8e72ff6faeafc1afd560b36a53b1883e42be5db4fceb478e31,True,,,,,,,,,,1.0.0,a football field with several buildiings surroudned .; a rectangular playground and many tall buildings surrounded .; many buildings and green trees are around a playground .; many buildings are in different blocks with many green trees and a playground .; a playground is surrounded by many trees and buildings .
00002,RSICD,00002.jpg,raw/rsicd/images/00002.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00002.jpg,,,224,224,3,RGB,unknown,5,1306d294603b14e688a05b3247b2a8803717955573e9132405d300b75c5332c6,True,,,,,,,,,,1.0.0,a standard football field locates beside residential area .; a football field and many buildings with grey dust .; many buildings and some green trees are around a playground .; many buildings and some green trees are next to a playground .; a playground is surrounded by many trees and buildings .
00003,RSICD,00003.jpg,raw/rsicd/images/00003.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00003.jpg,,,224,224,3,RGB,unknown,5,d45bfa3b59e87647239dfca1e375e6a841d57f3abe73da1e1b35b3b5347c002a,True,,,,,,,,,,1.0.0,two exercise yards are seperated by a road with plants and buildings .; an outdoor court locate in one of six blocks .; many buildings and some green trees are around two playground separately .; many buildings and some green trees are in six different blocks and half of them with playgrounds .; two playgrounds are surrounded by many trees and buildings .
00004,RSICD,00004.jpg,raw/rsicd/images/00004.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00004.jpg,,,224,224,3,RGB,unknown,5,fe865399983c4dee90064873b2402687cc667a3801db60dcc263fcbb89d1e82d,True,,,,,,,,,,1.0.0,a football field locates in some apartments with a small playground .; a square playground and many trees surrounded .; many buildings and green plants are around two playgrounds in different sizes .; a large playground is surroundededed by many long buildings and some green trees .; two playgrounds are surrounded by many trees and buildings .
00005,RSICD,00005.jpg,raw/rsicd/images/00005.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00005.jpg,,,224,224,3,RGB,unknown,5,fbf26c6d2ce6bb4662d25c69f2682cdc6ae2282653abe0a7db95ba97f042a49f,True,,,,,,,,,,1.0.0,a huge field with trees and plants surrounded while a couple of small playgrounds .; an oval court and two-way street nearby .; many buildings and some green trees are around three playgrounds in different sizes .; a large surrounded is surroundededed by green trees and two small playgrounds is surroundededed by buildings .; three playgrounds are surrounded by many trees and buildings .
00006,RSICD,00006.jpg,raw/rsicd/images/00006.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00006.jpg,,,224,224,3,RGB,unknown,5,75a203e84dedc4ed3f71f0bd8bfc8aa296230dab826497236090a78a3a5d4337,True,,,,,,,,,,1.0.0,two parts of city has been connected by the bridge over the river .; a straight bridge acrosss a broad river and link to two roads .; a bridge is on a river with many gray trees and buildings on two sides of it .; a long bridge is on a river with green plants in two sides .; a part of a city is separated by a big river with a bridge on it .
00007,RSICD,00007.jpg,raw/rsicd/images/00007.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00007.jpg,,,224,224,3,RGB,unknown,5,8b87f216578a35cf5921f8799adf65cf204ac145e650ca620b8a6694f2410b02,True,,,,,,,,,,1.0.0,the bridge stretch across the river and bring convience to the city .; a bridge through a blue river and connect with two cities .; a bridge connected two city subdivisions is on a river .; a long bridge is on a river with green plants and many buildings in two sides .; many cars are running on the bridge over the river in city .
00008,RSICD,00008.jpg,raw/rsicd/images/00008.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00008.jpg,,,224,224,3,RGB,unknown,5,188eefe3eda48c806bf3dd9eeb0089abd0447a11148dbbe45cf5078eac661750,True,,,,,,,,,,1.0.0,the city with a large amount of buildings is planned orderly .; a curved highway through many green trees and red buildings .; many buildings and some trees are surrounded by four roads .; many buildings and a few trees are surrounded by roads .; there are many houses and two playgrounds in this residential areas .
00009,RSICD,00009.jpg,raw/rsicd/images/00009.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00009.jpg,,,224,224,3,RGB,unknown,5,f2b3f4cfcc3a1912c5afd5fca4244f7dd0cc3f5710f5453d0c409c64f93ca386,True,,,,,,,,,,1.0.0,the playground with several basketball courts locates near the road .; a red playground and a white house nearby .; many buildings around a playground is semisurrounded by two roads .; some buildings and a playground is next to three roads .; a play ground in residential areas has three basketball fields .
00010,RSICD,00010.jpg,raw/rsicd/images/00010.jpg,train,/Users/rahulmanchanda/Desktop/AI-Driven-Satellite-Image-Semantic-Search-and-Temporal-Change-Detection-System/data/raw/rsicd/images/00010.jpg,,,224,224,3,RGB,unknown,5,2e48d67eb52c2c07127d666efa867dd7ca91f67d5cfde178966320706396ace3,True,,,,,,,,,,1.0.0,the playground here serves for residents nearby .; two basketball fields and four red houses surrounded .; many buildings and some green trees are around a playground .; many buildings and a playground is next to a road with green trees in two sides .; a play ground with many trees surrounded in residential areas has three basketball fields .
