sample_id,method,threshold_policy,threshold_value,precision,recall,f1,iou,tp,fp,fn,tn,gt_changed_pixels,pred_changed_pixels
test_1,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.03542472246476238,0.0645992872848586,0.04575725026852846,0.02341431241068484,852,23199,12337,1012188,13189,24051
test_1,B2_SSIM,validation_f1,0.8999999761581421,0.020794292183961897,0.646144514368034,0.04029190592251302,0.02056015691534919,8522,401302,4667,634085,13189,409824
test_1,B3_CVA,validation_f1,0.4050000011920929,0.0386595957266928,0.07627568428235651,0.05131213179975007,0.026331631985342233,1006,25016,12183,1010371,13189,26022
test_10,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.03581832459406743,0.013899537992725843,0.020027335755309583,0.010114955684476333,1414,38063,100316,908783,101730,39477
test_10,B2_SSIM,validation_f1,0.8999999761581421,0.13000960756780724,0.4323110193649857,0.1999022738377973,0.11105078959462257,43979,294296,57751,652550,101730,338275
test_10,B3_CVA,validation_f1,0.4050000011920929,0.035892061828661254,0.014813722599036665,0.02097177091088737,0.010597004430068209,1507,40480,100223,906366,101730,41987
test_100,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.05435799982982103,0.032252635830465406,0.04048437607270922,0.020660399732649146,3833,66681,115010,863052,118843,70514
test_100,B2_SSIM,validation_f1,0.8999999761581421,0.14892457131529388,0.5309946736450611,0.2326104305163653,0.13161242689936514,63105,360633,55738,569100,118843,423738
test_100,B3_CVA,validation_f1,0.4050000011920929,0.05409758780545297,0.03476014573849533,0.042324735534438156,0.0216198959565404,4131,72231,114712,857502,118843,76362
test_101,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.1610305336140134,0.16886746597537264,0.16485591419109288,0.08983268151308489,8338,43441,41038,955759,49376,51779
test_101,B2_SSIM,validation_f1,0.8999999761581421,0.05798671309528365,0.39897926117952043,0.10125697426685068,0.053328424591712706,19700,320033,29676,679167,49376,339733
test_101,B3_CVA,validation_f1,0.4050000011920929,0.1579094362106204,0.17176360985093972,0.16454541926972177,0.0896483198207245,8481,45227,40895,953973,49376,53708
test_102,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.7836856159026135,0.8263058109773438,0.8044315858931232,0.6728444615978387,87167,24060,18323,919026,105490,111227
test_102,B2_SSIM,validation_f1,0.8999999761581421,0.1498614542526037,0.4163048630201915,0.22038772099745568,0.12384030139474025,43916,249128,61574,693958,105490,293044
test_102,B3_CVA,validation_f1,0.4050000011920929,0.7734107514736508,0.8308465257370367,0.8011004780315701,0.6681965113442303,87646,25678,17844,917408,105490,113324
test_103,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.06644489034392931,0.20732644991212654,0.10063714643704513,0.05298468707454349,3775,53039,14433,977329,18208,56814
test_103,B2_SSIM,validation_f1,0.8999999761581421,0.024766540362392557,0.4907183655536028,0.047153257321684426,0.02414590776182163,8935,351834,9273,678534,18208,360769
test_103,B3_CVA,validation_f1,0.4050000011920929,0.0641327371146152,0.20952328646748683,0.09820578165624115,0.0516384899633184,3815,55671,14393,974697,18208,59486
test_104,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.483325922632281,0.8559504435928396,0.617800848742043,0.44696948929521096,16305,17430,2744,1012097,19049,33735
test_104,B2_SSIM,validation_f1,0.8999999761581421,0.030768305982773872,0.3761877263898367,0.05688407666570087,0.029274669608023367,7166,225736,11883,803791,19049,232902
test_104,B3_CVA,validation_f1,0.4050000011920929,0.47081218274111675,0.8569478712793323,0.6077325440702891,0.43650560205364064,16324,18348,2725,1011179,19049,34672
test_105,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.04453191691169496,0.01775550723267467,0.025388327858214706,0.012857377587906671,939,20147,51946,975544,52885,21086
test_105,B2_SSIM,validation_f1,0.8999999761581421,0.06330689667573093,0.43273139831710317,0.1104547056069579,0.05845570674316016,22885,338608,30000,657083,52885,361493
test_105,B3_CVA,validation_f1,0.4050000011920929,0.0461403122938201,0.01983549210551196,0.027743983073261043,0.01406713065400759,1049,21686,51836,974005,52885,22735
test_106,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.10588235294117647,0.09119106699751861,0.09798911232085324,0.05151869158878505,2205,18620,21975,1005776,24180,20825
test_106,B2_SSIM,validation_f1,0.8999999761581421,0.04422499773235476,0.4637717121588089,0.08074974707197557,0.04207358938668007,11214,242353,12966,782043,24180,253567
test_106,B3_CVA,validation_f1,0.4050000011920929,0.10420458682198762,0.09470636889991729,0.09922870266054251,0.0522044407969726,2290,19686,21890,1004710,24180,21976
test_107,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0183519800018291,0.2619669277632724,0.034301017065040885,0.0174497811530769,602,32201,1696,1014077,2298,32803
test_107,B2_SSIM,validation_f1,0.8999999761581421,0.00284239391140609,0.5182767624020888,0.0056537806988186876,0.002834904313053413,1191,417822,1107,628456,2298,419013
test_107,B3_CVA,validation_f1,0.4050000011920929,0.017622362169925975,0.27763272410791995,0.03314113552542725,0.016849778153391084,638,35566,1660,1010712,2298,36204
test_108,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0,0.0,0.0,0.0,0,10378,0,1038198,0,10378
test_108,B2_SSIM,validation_f1,0.8999999761581421,0.0,0.0,0.0,0.0,0,543107,0,505469,0,543107
