detector,perturbation,severity,split,threshold_policy,threshold,precision,recall,f1,iou,accuracy,tp,fp,fn,tn,f1_delta,relative_f1_degradation_pct,iou_delta,relative_iou_degradation_pct,additional_false_positives,relative_fp_increase_pct,fp_generation_rate_pct,latency_ms_per_pair,peak_ram_mb,seed
B1_Pixel_Diff,control,none,test,frozen_m5_val_f1,0.41,0.1064291406294521,0.16661908525516408,0.1298900661135673,0.06945584522062392,0.8862806707620621,1139242,9564988,5698162,117815336,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,368.859375,42
B2_SSIM,control,none,test,frozen_m5_val_f1,0.9,0.07056860456486058,0.533153225990449,0.12463978366590757,0.06646178295791638,0.6185009032487869,3645384,48011922,3192020,79368402,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,368.859375,42
B3_CVA,control,none,test,frozen_m5_val_f1,0.405,0.1055735823566442,0.17463806438818008,0.1315945735123589,0.07043148753840839,0.88258196413517,1194071,10116249,5643333,117264075,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,368.859375,42
B1_Pixel_Diff,global_illumination_shift,mild,test,frozen_m5_val_f1,0.41,0.12360859806366647,0.15654450139263382,0.13814051237892871,0.07419491819730883,0.9004904925823212,1070358,7588894,5767046,119791430,0.008250446265361422,-6.351868554865295,0.0047390729766849105,-6.823144922693576,-1976094,-20.659660001664403,-1.5513337837011625,152.55951074232144,375.140625,42
B2_SSIM,global_illumination_shift,mild,test,frozen_m5_val_f1,0.9,0.07099691847024626,0.5260291771555403,0.12510826872429115,0.06672826309771249,0.6252087131142616,3596674,47062905,3240730,80317419,0.00046848505838358034,-0.3758712062910327,0.00026648013979610474,-0.40095243903528743,-949017,-1.9766278050689159,-0.7450263668665186,152.55951074232144,375.140625,42
B3_CVA,global_illumination_shift,mild,test,frozen_m5_val_f1,0.405,0.12274720273122458,0.16439835937733094,0.14055198066784755,0.07558801279012296,0.8975784182548523,1124058,8033446,5713346,119346878,0.00895740715548865,-6.806821068991422,0.005156525251714575,-7.32133514701442,-2082803,-20.58868855442368,-1.6351057483571796,152.55951074232144,375.140625,42
B1_Pixel_Diff,global_illumination_shift,medium,test,frozen_m5_val_f1,0.41,0.13416430289153974,0.16144402173690484,0.14654543074565507,0.0790661034678671,0.9042053073644638,1103858,7123800,5733546,120256524,0.016655364632087777,-12.822662371674696,0.00961025824724318,-13.836500321487055,-2441188,-25.522122976003736,-1.9164561082447868,151.55493619516847,375.140625,42
B2_SSIM,global_illumination_shift,medium,test,frozen_m5_val_f1,0.9,0.07047801376807727,0.5222945726184968,0.12419698523640155,0.06621003605330793,0.6247486621141434,3571139,47099117,3266265,80281207,-0.0004427984295060222,0.35526251448969726,-0.0002517469046084547,0.3787844583824375,-912805,-1.9012048715733563,-0.7165981144780257,151.55493619516847,375.140625,42
B3_CVA,global_illumination_shift,medium,test,frozen_m5_val_f1,0.405,0.13257874878346387,0.16881260782601115,0.14851762556313822,0.08021552222894407,0.9013916030526161,1154240,7551831,5683164,119828493,0.01692305205077932,-12.85999232270012,0.009784034690535681,-13.891563322725728,-2564418,-25.3494946595324,-2.0131978938913675,151.55493619516847,375.140625,42
B1_Pixel_Diff,global_illumination_shift,strong,test,frozen_m5_val_f1,0.41,0.10702342675410889,0.20418802223767968,0.14043764721906016,0.07552188126901921,0.8726686164736748,1396116,11648841,5441288,115731483,0.010547581105492865,-8.120390897538506,0.006066036048395285,-8.733658094760413,2083853,21.786258383178318,1.6359300514889568,150.36485349190798,375.140625,42
